time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-07-01T10:10:31.151Z,47.1358,152.899,35,4.3,mb,,182,6.726,0.82,us,us7000ehzb,2021-07-01T11:33:43.040Z,"Kuril Islands",earthquake,9.9,2,0.094,32,reviewed,us,us
2021-07-01T08:51:30.609Z,44.5449,147.4071,134.51,4.5,mb,,165,3.48,0.73,us,us7000ehyy,2021-07-01T09:05:38.040Z,"84 km SSW of Kuril’sk, Russia",earthquake,11.2,9.9,0.127,18,reviewed,us,us
2021-07-01T08:01:21.870Z,17.9736,-66.8321,12,2.47,md,16,179,0.2122,0.14,pr,pr2021182003,2021-07-01T08:34:24.806Z,"2 km SSW of Indios, Puerto Rico",earthquake,0.49,0.31,0.09,9,reviewed,pr,pr
2021-07-01T06:02:30.426Z,13.0687,-89.9881,35,4,mb,,192,1.206,0.53,us,us7000ehxh,2021-07-02T03:58:58.735Z,"60 km SSW of Acajutla, El Salvador",earthquake,9.7,2,0.156,11,reviewed,us,us
2021-07-01T05:59:40.903Z,63.1888,-150.396,113.8,2.5,ml,,,,0.43,ak,ak0218d3529v,2021-07-01T06:16:37.040Z,"75 km WSW of Cantwell, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-07-01T05:33:52.618Z,32.71453857,-100.6872856,6.089233398,3.4,ml,22,70,0.06044656819,0.2,tx,tx2021mtdb,2021-07-01T16:47:00.247Z,"11 km NE of Hermleigh, Texas",earthquake,1.007556803,1.494843921,0.1,13,reviewed,tx,tx
2021-07-01T05:17:20.740Z,17.9893,-67.119,15,2.55,md,13,216,0.0195,0.07,pr,pr2021182002,2021-07-01T06:39:36.189Z,"6 km SE of Boquerón, Puerto Rico",earthquake,0.51,0.34,0.12,5,reviewed,pr,pr
2021-07-01T03:53:12.270Z,36.589,-121.1828333,3.08,2.82,ml,58,66,0.01739,0.08,nc,nc73581641,2021-07-02T20:01:11.576Z,"7km NNW of Pinnacles, CA",earthquake,0.16,0.36,0.162,47,reviewed,nc,nc
2021-07-01T03:43:34.573Z,-5.2821,104.7744,50.1,4.6,mb,,110,0.453,0.75,us,us7000ehwq,2021-07-02T03:40:00.040Z,"51 km SSW of Kotabumi, Indonesia",earthquake,6.6,5.3,0.137,16,reviewed,us,us
2021-07-01T03:35:59.490Z,36.5886667,-121.1841667,2.82,2.57,md,59,66,0.01696,0.1,nc,nc73581631,2021-07-02T18:38:11.077Z,"7km NNW of Pinnacles, CA",earthquake,0.16,0.33,0.134,61,reviewed,nc,nc
2021-07-01T02:55:33.541Z,44.4354,-115.1863,10,2.7,ml,,104,0.872,0.23,us,us7000ehwg,2021-07-01T13:53:57.160Z,"31 km NW of Stanley, Idaho",earthquake,2.2,2,0.045,64,reviewed,us,us
2021-07-01T02:35:09.240Z,44.3688333,-115.2036667,9.52,2.61,ml,13,83,0.916,0.22,mb,mb80512539,2021-07-01T14:02:10.330Z,"27 km NW of Stanley, Idaho",earthquake,0.67,1.49,0.239,17,reviewed,mb,mb
2021-07-01T02:27:22.683Z,60.5817,-151.7829,82.1,4.3,ml,,,,0.56,ak,ak0218d15v51,2021-07-02T09:42:06.847Z,"25 km W of Salamatof, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2021-07-01T02:16:46.185Z,59.7394,-151.449,87,2.7,ml,,,,0.5,ak,ak0218d13k7u,2021-07-01T02:47:25.512Z,"7 km N of Kachemak, Alaska",earthquake,,0.9,,,automatic,ak,ak
2021-07-01T02:03:05.420Z,17.9636,-66.8943,10,2.64,md,19,184,0.15,0.18,pr,pr2021182001,2021-07-01T02:25:51.354Z,"1 km ESE of Guánica, Puerto Rico",earthquake,0.43,0.51,0.14,9,reviewed,pr,pr
2021-07-01T01:50:10.274Z,-5.4345,104.6659,48.48,4.7,mb,,73,0.628,0.99,us,us7000ehw5,2021-07-02T04:44:50.040Z,"65 km W of Bandar Lampung, Indonesia",earthquake,5,8.7,0.153,13,reviewed,us,us
2021-07-01T01:13:41.393Z,16.8448,-97.8068,10,5.1,mb,,154,1.018,0.62,us,us7000ehvx,2021-07-03T04:01:09.691Z,"Oaxaca, Mexico",earthquake,8.2,1.8,0.024,544,reviewed,us,us
2021-07-01T01:04:28.000Z,17.9708,-66.8371,15,2.83,md,20,180,0.2071,0.13,pr,pr2021182000,2021-07-01T01:41:02.300Z,"3 km SW of Indios, Puerto Rico",earthquake,0.43,0.34,0.12,10,reviewed,pr,pr
2021-06-30T23:41:07.940Z,17.9293,-66.6116,3,2.85,md,14,203,0.1136,0.37,pr,pr2021181015,2021-07-01T00:18:45.377Z,"9 km S of Ponce, Puerto Rico",earthquake,1,0.86,0.31,11,reviewed,pr,pr
2021-06-30T23:17:23.870Z,18.1583,-67.3851,16,2.63,md,8,222,0.2449,0.18,pr,pr2021181016,2021-07-01T00:20:41.273Z,"22 km WNW of Puerto Real, Puerto Rico",earthquake,0.92,1.29,0.15,6,reviewed,pr,pr
2021-06-30T23:13:53.413Z,40.4937,-116.0564,12.2,3.4,ml,22,90.72,0.487,0.1028,nn,nn00810545,2021-07-01T04:38:45.506Z,"Nevada",earthquake,,3.9,0.16,10,reviewed,nn,nn
2021-06-30T22:36:25.188Z,31.65826066,-104.3153668,6.542895508,3.1,ml,35,59,0.116641776,0.3,tx,tx2021msph,2021-07-01T14:06:17.906Z,"57 km S of Whites City, New Mexico",earthquake,0.8968632199,1.221231233,0.2,20,reviewed,tx,tx
2021-06-30T22:19:19.830Z,39.1141663,-122.2028351,-0.34,3.38,ml,43,38,0.2224,0.6,nc,nc73581561,2021-07-02T00:59:51.209Z,"6km SW of Williams, CA",earthquake,1.01,6.01,0.193,20,automatic,nc,nc
2021-06-30T22:15:56.120Z,35.7791667,-117.587,6.71,3.23,ml,45,46,0.03748,0.14,ci,ci39725271,2021-07-01T15:32:07.510Z,"17km W of Searles Valley, CA",earthquake,0.12,0.3,0.153,114,reviewed,ci,ci
2021-06-30T22:14:06.615Z,58.3704,-133.4932,4.39,2.7,ml,,166,0.549,0.47,us,us7000ehur,2021-06-30T23:04:49.040Z,"54 km E of Juneau, Alaska",earthquake,2.3,9.4,0.074,24,reviewed,us,us
